source_id,source_sheet,parser_mode_override,hierarchy_status,note,year_axis_minimum
economic_annex,*,,unresolved,Published aggregates and components coexist; parent-child relations are not yet fully encoded.,
economic_annex,Indice,skip_metadata,not_applicable,Table of contents.,
economic_annex,CUADRO 57a,horizontal_year_month,unresolved,"Reviewed orientation override moved from code to configuration. Published as a single reviewed year (year-over-year international reserve returns); the general multi-year axis guard requires >=3 candidate years, so this sheet needs an explicit single-year floor.",1
payments,*,,unresolved,Published totals may coexist with components.,
payments,Indice,skip_metadata,not_applicable,Table of contents.,
payments,BIC E. Bancarias,skip_metadata,not_applicable,Official participant reference dimension.,
exchange_houses,*,,unresolved,Source totals are identified but the complete item hierarchy is not encoded.,
exchange_houses,Tablas ref.,skip_metadata,not_applicable,Official exchange-house reference dimensions.,
credit_survey,*,,flat,Question-response series are not additive.,
liquidity_facility,*,,flat,"Repeated auction rows use term as a semantic dimension; same-day same-term events without a published identifier receive a value-invariant positional lane. parser_mode_override intentionally left blank: this source is dispatched directly to documented_parse_row_events() in documented_source_parser() and never reads this column -- do not set it expecting it to change behavior.",
direct_investment,*,,unresolved,Components countries and activities include published aggregates.,
direct_investment,Indice,skip_metadata,not_applicable,Table of contents.,
insurance_annex,*,insurance_fiscal_year,unresolved,Published section and total hierarchy is retained in labels but not fully encoded.,
insurance_annex,Caratula,skip_metadata,not_applicable,Cover page.,
insurance_annex,Índice,skip_metadata,not_applicable,Table of contents.,
bcp_fx_daily,*,,unresolved,Published purchases sales totals net flows and cumulative values coexist.,
exchange_rates,*,,flat,Buy and sell quotations are separate non-additive measures.,
banking_indicators,*,,unresolved,Published physical legal and total counts coexist.,
banking_indicators,Portada,skip_metadata,not_applicable,Cover page.,
banking_indicators,Índice,skip_metadata,not_applicable,Table of contents.,
financial_indicators,*,,unresolved,Rates balances subtotals and portfolio components coexist.,
financial_indicators,Índice,skip_metadata,not_applicable,Table of contents.,
interbank_market,*,,unresolved,Market segments and combined totals coexist.,
lrm_auctions,*,,flat,Each row is an auction-tenor result.,
compensatory_fx_sales,*,year_month_blocks,unresolved,Compensatory complementary and total sales coexist.,
